"group","current_rank","team","played","wins","draws","losses","goals_for","goals_against","goal_diff","points","remaining_matches","top2_status","status_basis"
"E",4,"库拉索",1,0,0,1,1,7,-6,0,2,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"E",2,"科特迪瓦",1,1,0,0,1,0,1,3,2,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"E",3,"厄瓜多尔",1,0,0,1,0,1,-1,0,2,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"F",3,"荷兰",1,0,1,0,2,2,0,1,2,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"F",2,"日本",1,0,1,0,2,2,0,1,2,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"F",1,"瑞典",1,1,0,0,5,1,4,3,2,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"F",4,"突尼斯",1,0,0,1,1,5,-4,0,2,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"G",4,"比利时",1,0,1,0,1,1,0,1,2,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"G",3,"埃及",1,0,1,0,1,1,0,1,2,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"G",1,"伊朗",1,0,1,0,2,2,0,1,2,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"G",2,"新西兰",1,0,1,0,2,2,0,1,2,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"H",4,"西班牙",1,0,1,0,0,0,0,1,2,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"H",3,"佛得角",1,0,1,0,0,0,0,1,2,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"H",2,"沙特阿拉伯",1,0,1,0,1,1,0,1,2,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"H",1,"乌拉圭",1,0,1,0,1,1,0,1,2,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"I",2,"法国",1,1,0,0,3,1,2,3,2,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"I",3,"塞内加尔",1,0,0,1,1,3,-2,0,2,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"I",4,"伊拉克",1,0,0,1,1,4,-3,0,2,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"I",1,"挪威",1,1,0,0,4,1,3,3,2,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"J",1,"阿根廷",1,1,0,0,3,0,3,3,2,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"J",4,"阿尔及利亚",1,0,0,1,0,3,-3,0,2,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"J",2,"奥地利",1,1,0,0,3,1,2,3,2,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"J",3,"约旦",1,0,0,1,1,3,-2,0,2,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"K",3,"葡萄牙",1,0,1,0,1,1,0,1,2,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"K",2,"民主刚果",1,0,1,0,1,1,0,1,2,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"K",4,"乌兹别克斯坦",1,0,0,1,1,3,-2,0,2,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"K",1,"哥伦比亚",1,1,0,0,3,1,2,3,2,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"L",1,"英格兰",1,1,0,0,4,2,2,3,2,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"L",4,"克罗地亚",1,0,0,1,2,4,-2,0,2,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"L",2,"加纳",1,1,0,0,1,0,1,3,2,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"L",3,"巴拿马",1,0,0,1,0,1,-1,0,2,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
