"team","round_of_32_before","round_of_16_before","quarter_final_before","semi_final_before","final_before","champion_before","round_of_32_after","round_of_16_after","quarter_final_after","semi_final_after","final_after","champion_after","round_of_32_change","round_of_16_change","quarter_final_change","semi_final_change","final_change","champion_change"
"波黑",0.3399,0.0355,0.0034,4e-04,0,0,0.3415,0.0352,0.0041,3e-04,1e-04,0,0.00160000000000005,-0.000299999999999995,7e-04,-1e-04,1e-04,0
"沙特阿拉伯",0.442,0.0646,0.0163,0.0034,6e-04,1e-04,0.4408,0.0683,0.0167,0.0025,3e-04,0,-0.00119999999999998,0.0037,0.000400000000000001,-9e-04,-3e-04,-1e-04
"阿尔及利亚",0.6354,0.2348,0.1237,0.0496,0.019,0.0061,0.6342,0.2344,0.1215,0.0506,0.0174,0.0058,-0.00119999999999998,-0.000400000000000011,-0.00220000000000001,0.001,-0.0016,-0.000300000000000001
"乌拉圭",0.7314,0.2258,0.1094,0.0471,0.0141,0.0047,0.7325,0.2375,0.1186,0.048,0.0162,0.0046,0.00109999999999999,0.0117,0.0092,0.000899999999999998,0.0021,-1e-04
"韩国",0.919,0.4016,0.1516,0.0495,0.0159,0.0044,0.9201,0.3883,0.1401,0.0438,0.0114,0.003,0.00109999999999999,-0.0133,-0.0115,-0.0057,-0.0045,-0.0014
"约旦",0.1131,0.0241,0.0063,8e-04,2e-04,0,0.1121,0.0237,0.0056,8e-04,1e-04,1e-04,-0.001,-0.000400000000000001,-7e-04,0,-1e-04,1e-04
"民主刚果",0.5122,0.1893,0.043,0.0108,0.0017,1e-04,0.5129,0.1918,0.0422,0.0103,0.0016,3e-04,0.000700000000000034,0.0025,-0.000799999999999995,-5e-04,-9.99999999999998e-05,2e-04
"英格兰",0.9985,0.7566,0.4155,0.2427,0.1317,0.0655,0.9979,0.7602,0.406,0.2256,0.1236,0.0605,-0.000600000000000045,0.00359999999999994,-0.00949999999999995,-0.0171,-0.00810000000000001,-0.005
"德国",0.9986,0.725,0.3759,0.2049,0.0932,0.0391,0.9981,0.721,0.3733,0.1951,0.0913,0.0404,-0.000500000000000056,-0.004,-0.00259999999999999,-0.0098,-0.0019,0.0013
"挪威",0.9868,0.5531,0.2554,0.1128,0.0447,0.0169,0.9867,0.5638,0.2574,0.122,0.0484,0.0189,-9.9999999999989e-05,0.0106999999999999,0.002,0.0092,0.0037,0.002
"阿根廷",0.999,0.7975,0.6618,0.5202,0.3392,0.2054,0.9991,0.8017,0.6668,0.5174,0.3371,0.2077,9.9999999999989e-05,0.00419999999999998,0.00499999999999989,-0.00280000000000002,-0.00209999999999999,0.0023
"伊拉克",0.1059,0.022,0.0052,6e-04,0,0,0.1059,0.0227,0.006,8e-04,1e-04,0,0,0.000700000000000003,8e-04,2e-04,1e-04,0
"加拿大",1,0.6934,0.3979,0.1516,0.0687,0.03,1,0.6946,0.3975,0.1541,0.0661,0.0283,0,0.00119999999999998,-0.000399999999999956,0.00249999999999997,-0.00259999999999999,-0.0017
"瑞士",1,0.5601,0.2471,0.0802,0.0282,0.0085,1,0.5766,0.244,0.0838,0.0288,0.0092,0,0.0165,-0.00309999999999999,0.00360000000000001,6e-04,0.000699999999999999
"墨西哥",1,0.754,0.4206,0.2282,0.1142,0.0555,1,0.764,0.4418,0.2394,0.1214,0.0579,0,0.01,0.0212000000000001,0.0112,0.0072,0.0024
