"team","group_exit_0617","round_of_32_0617","round_of_16_0617","quarter_final_0617","semi_final_0617","final_0617","champion_0617","group_exit_0619","round_of_32_0619","round_of_16_0619","quarter_final_0619","semi_final_0619","final_0619","champion_0619","round_of_32_change","round_of_16_change","quarter_final_change","semi_final_change","final_change","champion_change"
"捷克",1,0.392,0.126,0.023,0.004,0.001,0,1,0.147,0.046,0.008,0,0,0,-0.245,-0.08,-0.015,-0.004,-0.001,0
"新西兰",1,0.295,0.071,0.01,0,0,0,1,0.322,0.063,0.008,0.002,0,0,0.027,-0.00799999999999999,-0.002,0.002,0,0
"民主刚果",1,0.373,0.117,0.028,0.007,0.002,0,1,0.518,0.202,0.042,0.014,0.005,0,0.145,0.085,0.014,0.007,0.003,0
"沙特阿拉伯",1,0.424,0.056,0.016,0.005,0.002,0,1,0.416,0.06,0.018,0.003,0.001,0,-0.00800000000000001,0.004,0.002,-0.002,-0.001,0
"波黑",1,0.468,0.073,0.012,0,0,0,1,0.337,0.027,0.006,0.001,0,0,-0.131,-0.046,-0.006,0.001,0,0
"瑞典",1,0.89,0.181,0.032,0.004,0,0,1,0.914,0.163,0.03,0.003,0,0,0.024,-0.018,-0.002,-0.001,0,0
"瑞士",1,0.849,0.423,0.178,0.047,0.017,0.007,1,1,0.574,0.25,0.07,0.023,0.007,0.151,0.151,0.072,0.023,0.006,0
"突尼斯",1,0.084,0.022,0,0,0,0,1,0.061,0.006,0,0,0,0,-0.023,-0.016,0,0,0,0
"约旦",1,0.085,0.022,0.008,0.002,0,0,1,0.109,0.016,0.001,0,0,0,0.024,-0.006,-0.007,-0.002,0,0
"美国",1,0.982,0.521,0.184,0.053,0.021,0.005,1,0.981,0.561,0.221,0.072,0.024,0.005,-0.001,0.04,0.037,0.019,0.003,0
"苏格兰",1,0.766,0.198,0.06,0.009,0,0,1,0.776,0.212,0.056,0.012,0.001,0,0.01,0.014,-0.004,0.003,0.001,0
